"Number","Path","ArchiveTarget","ArchiveTargetExists","CurrentPathExists","Bucket","ActiveScopes","ActiveHitCount","AgentBoardHitCount","ReadmeHitCount","ProjectMasterPlanHitCount","ManifestHitCount","ReleaseNotesHitCount","NonArchiveDocsHitCount","ScriptsHitCount","TestsHitCount","OtherHitCount","ArchiveAuditHitCount","SourceFiles","ArchiveAuditFiles"
"542","docs/v11_012_human_review_schema_draft_gate.md","docs/archive/phases/v11/v11_012_human_review_schema_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_012_human_review_schema_draft_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"543","docs/v11_013_human_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_013_human_review_schema_static_review_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","5","2","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_013_human_review_schema_static_review_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"544","docs/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md","docs/archive/phases/v11/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","4","1","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"545","docs/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","5","2","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[2]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"546","docs/v11_016_prompt_schema_hardening_validation_strategy_gate.md","docs/archive/phases/v11/v11_016_prompt_schema_hardening_validation_strategy_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_schema_hardening_route_closeout.md[1]; docs/v11_016_prompt_schema_hardening_validation_strategy_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"547","docs/v11_017_prompt_schema_hardening_route_closeout_gate.md","docs/archive/phases/v11/v11_017_prompt_schema_hardening_route_closeout_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v11_017_prompt_schema_hardening_route_closeout_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"548","docs/v11_018_post_remote_sync_state_reconciliation_gate.md","docs/archive/phases/v11/v11_018_post_remote_sync_state_reconciliation_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v11_018_post_remote_sync_state_reconciliation_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"549","docs/v12_001_route_selection_gate.md","docs/archive/phases/v12/v12_001_route_selection_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v12_001_route_selection_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"550","docs/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md","docs/archive/phases/v12/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"551","docs/v12_003_prompt_schema_validator_rule_specification_gate.md","docs/archive/phases/v12/v12_003_prompt_schema_validator_rule_specification_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v12_003_prompt_schema_validator_rule_specification_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
