"path","previous_path","archive_target","lifecycle_status","reference_class","current_path_exists","archive_target_exists","validator_blocked","scan_source","last_scanned_at"
"docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","docs/v10_project_route_reset_after_v9_delivery_readiness.md","docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v11/v11_001_route_selection_gate.md","docs/v11_001_route_selection_gate.md","docs/archive/phases/v11/v11_001_route_selection_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_001_visual_production_loop_route_selection_gate.md","docs/v13_001_visual_production_loop_route_selection_gate.md","docs/archive/phases/v13/v13_001_visual_production_loop_route_selection_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_002_visual_production_loop_canonical_model_gate.md","docs/v13_002_visual_production_loop_canonical_model_gate.md","docs/archive/phases/v13/v13_002_visual_production_loop_canonical_model_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_003_visual_production_loop_canonical_model_static_review_gate.md","docs/v13_003_visual_production_loop_canonical_model_static_review_gate.md","docs/archive/phases/v13/v13_003_visual_production_loop_canonical_model_static_review_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_004_existing_asset_loop_reconstruction_selection_gate.md","docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md","docs/archive/phases/v13/v13_004_existing_asset_loop_reconstruction_selection_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md","docs/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md","docs/archive/phases/v13/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md","docs/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md","docs/archive/phases/v13/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_007_next_product_visual_production_trial_planning_gate.md","docs/v13_007_next_product_visual_production_trial_planning_gate.md","docs/archive/phases/v13/v13_007_next_product_visual_production_trial_planning_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
"docs/archive/phases/v13/v13_008_premium_portable_led_camping_lantern_prompt_package_draft_gate.md","docs/v13_008_premium_portable_led_camping_lantern_prompt_package_draft_gate.md","docs/archive/phases/v13/v13_008_premium_portable_led_camping_lantern_prompt_package_draft_gate.md","archived","archive_only_after_c1ak_agent_board_only_01","False","True","False","C1ak agent-board-only-01 execution","e3a21a7"
